Percuteur,Jour,C_ID,C_PAv_1,C_PAv_2,C_PAv_3,C_PAp_1,C_PAp_2,C_PAp_3,P_regles,P_pied-coulisse
Jarvis,1,J1A,1.2189,1.219,1.2188,0.8388,0.8387,0.839,6.7,6.75
Matador,1,MF,0.9022,0.9019,0.9018,0.654,0.6539,0.6539,6.2,6.26
Matador,1,MA,0.9035,0.9035,0.9036,0.6563,0.6564,0.6561,6.2,6.25
Jarvis,1,J1D,1.2197,1.22,1.2198,0.8438,0.8439,0.8437,6.6,6.65
Jarvis,1,J1F,1.22,1.2199,1.2201,0.8383,0.8382,0.8383,6.9,6.91
Blitz,1,BC,2.6742,2.6743,2.6743,2.2183,2.2184,2.2187,2.6,2.63
Blitz,1,BG,2.6729,2.6729,2.6727,2.2194,2.2191,2.2192,3.7,3.63
Matador,1,MD,0.9033,0.9032,0.903,0.6581,0.658,0.6581,6.5,6.5
Blitz,1,BE,2.6882,2.6882,2.688,2.2288,2.2287,2.229,3.7,3.66
Matador,1,MG,0.9054,0.9054,0.9053,0.6586,0.6589,0.6587,6.3,6.32
Blitz,1,BB,2.6763,2.6767,2.6764,2.2218,2.2216,2.2214,3.6,3.64
Matador,1,ME,0.9015,0.9013,0.9012,0.656,0.6562,0.6563,6.3,6.34
Jarvis,1,J1B,1.211,1.2112,1.2112,0.836,0.836,0.836,6.8,6.76
Blitz,2,BA,2.6811,2.6811,2.681,2.2258,2.2257,2.2255,3.4,3.34
Jarvis,2,J1G,1.2114,1.2117,1.2115,0.8372,0.8371,0.8371,5.2,5.23
Matador,2,MC,0.904,0.9042,0.9041,0.6576,0.6576,0.6577,6.5,6.47
Matador,2,MB,0.9073,0.9075,0.9076,0.6599,0.66,0.6598,6.7,6.53
Jarvis,2,J1C,1.2165,1.2166,1.216,0.8366,0.8367,0.8366,7.2,7.12
Blitz,2,BD,2.6736,2.6734,2.6737,2.2189,2.2187,2.219,2.9,2.68
Jarvis,2,J1E,1.2232,1.2232,1.223,0.8436,0.8437,0.8436,7,7.21
Blitz,2,BF,2.6538,2.6535,2.6536,2.2021,2.2021,2.2021,3.5,3.46
